lane,variant,truth,storage_codec,model_codec,pred,n
dino,-10,16QAM,bfp12,bfp12,5G_Downlink,12
dino,-10,16QAM,bfp12,bfp12,802_11ax,6
dino,-10,16QAM,bfp12,bfp12,Broadband_FM,1
dino,-10,16QAM,bfp12,bfp12,NOISE,11
dino,-10,16QAM,bfp12,bfp12,OFDM,14
dino,-10,16QAM,bfp12,bfp8,5G_Downlink,17
dino,-10,16QAM,bfp12,bfp8,802_11ax,5
dino,-10,16QAM,bfp12,bfp8,Broadband_FM,2
dino,-10,16QAM,bfp12,bfp8,NOISE,10
dino,-10,16QAM,bfp12,bfp8,OFDM,10
dino,-10,16QAM,bfp12,none,5G_Downlink,9
dino,-10,16QAM,bfp12,none,802_11ax,5
dino,-10,16QAM,bfp12,none,Broadband_FM,2
dino,-10,16QAM,bfp12,none,NOISE,11
dino,-10,16QAM,bfp12,none,OFDM,17
dino,-10,16QAM,bfp12,sc16,5G_Downlink,10
dino,-10,16QAM,bfp12,sc16,802_11ax,5
dino,-10,16QAM,bfp12,sc16,Broadband_FM,3
dino,-10,16QAM,bfp12,sc16,NOISE,12
dino,-10,16QAM,bfp12,sc16,OFDM,14
dino,-10,16QAM,bfp8,bfp12,5G_Downlink,12
dino,-10,16QAM,bfp8,bfp12,802_11ax,6
dino,-10,16QAM,bfp8,bfp12,Broadband_FM,1
dino,-10,16QAM,bfp8,bfp12,NOISE,11
dino,-10,16QAM,bfp8,bfp12,OFDM,14
dino,-10,16QAM,bfp8,bfp8,5G_Downlink,16
dino,-10,16QAM,bfp8,bfp8,802_11ax,5
dino,-10,16QAM,bfp8,bfp8,Broadband_FM,2
dino,-10,16QAM,bfp8,bfp8,NOISE,10
dino,-10,16QAM,bfp8,bfp8,OFDM,11
dino,-10,16QAM,bfp8,none,5G_Downlink,10
dino,-10,16QAM,bfp8,none,802_11ax,5
dino,-10,16QAM,bfp8,none,Broadband_FM,2
dino,-10,16QAM,bfp8,none,NOISE,11
dino,-10,16QAM,bfp8,none,OFDM,16
dino,-10,16QAM,bfp8,sc16,5G_Downlink,9
dino,-10,16QAM,bfp8,sc16,802_11ax,5
dino,-10,16QAM,bfp8,sc16,Broadband_FM,3
dino,-10,16QAM,bfp8,sc16,NOISE,12
dino,-10,16QAM,bfp8,sc16,OFDM,15
dino,-10,16QAM,none,bfp12,5G_Downlink,12
dino,-10,16QAM,none,bfp12,802_11ax,6
dino,-10,16QAM,none,bfp12,Broadband_FM,1
dino,-10,16QAM,none,bfp12,NOISE,11
dino,-10,16QAM,none,bfp12,OFDM,14
dino,-10,16QAM,none,bfp8,5G_Downlink,16
dino,-10,16QAM,none,bfp8,802_11ax,5
dino,-10,16QAM,none,bfp8,Broadband_FM,2
dino,-10,16QAM,none,bfp8,NOISE,10
dino,-10,16QAM,none,bfp8,OFDM,11
