lane,variant,class,snr_bin,storage_codec,model_codec,n,correct
dino,-10,16QAM,-20,bfp12,bfp12,40,0
dino,-10,16QAM,-20,bfp12,bfp8,40,0
dino,-10,16QAM,-20,bfp12,none,40,0
dino,-10,16QAM,-20,bfp12,sc16,40,0
dino,-10,16QAM,-20,bfp8,bfp12,40,0
dino,-10,16QAM,-20,bfp8,bfp8,40,0
dino,-10,16QAM,-20,bfp8,none,40,0
dino,-10,16QAM,-20,bfp8,sc16,40,0
dino,-10,16QAM,-20,none,bfp12,40,0
dino,-10,16QAM,-20,none,bfp8,40,0
dino,-10,16QAM,-20,none,none,40,0
dino,-10,16QAM,-20,none,sc16,40,0
dino,-10,16QAM,-20,sc16,bfp12,40,0
dino,-10,16QAM,-20,sc16,bfp8,40,0
dino,-10,16QAM,-20,sc16,none,40,0
dino,-10,16QAM,-20,sc16,sc16,40,0
dino,-10,16QAM,-5,bfp12,bfp12,1,0
dino,-10,16QAM,-5,bfp12,bfp8,1,0
dino,-10,16QAM,-5,bfp12,none,1,0
dino,-10,16QAM,-5,bfp12,sc16,1,0
dino,-10,16QAM,-5,bfp8,bfp12,1,0
dino,-10,16QAM,-5,bfp8,bfp8,1,0
dino,-10,16QAM,-5,bfp8,none,1,0
dino,-10,16QAM,-5,bfp8,sc16,1,0
dino,-10,16QAM,-5,none,bfp12,1,0
dino,-10,16QAM,-5,none,bfp8,1,0
dino,-10,16QAM,-5,none,none,1,0
dino,-10,16QAM,-5,none,sc16,1,0
dino,-10,16QAM,-5,sc16,bfp12,1,0
dino,-10,16QAM,-5,sc16,bfp8,1,0
dino,-10,16QAM,-5,sc16,none,1,0
dino,-10,16QAM,-5,sc16,sc16,1,0
dino,-10,16QAM,0,bfp12,bfp12,2,0
dino,-10,16QAM,0,bfp12,bfp8,2,0
dino,-10,16QAM,0,bfp12,none,2,0
dino,-10,16QAM,0,bfp12,sc16,2,0
dino,-10,16QAM,0,bfp8,bfp12,2,0
dino,-10,16QAM,0,bfp8,bfp8,2,0
dino,-10,16QAM,0,bfp8,none,2,0
dino,-10,16QAM,0,bfp8,sc16,2,0
dino,-10,16QAM,0,none,bfp12,2,0
dino,-10,16QAM,0,none,bfp8,2,0
dino,-10,16QAM,0,none,none,2,0
dino,-10,16QAM,0,none,sc16,2,0
dino,-10,16QAM,0,sc16,bfp12,2,0
dino,-10,16QAM,0,sc16,bfp8,2,0
dino,-10,16QAM,0,sc16,none,2,0
dino,-10,16QAM,0,sc16,sc16,2,0
dino,-10,16QAM,clean,bfp12,bfp12,1,0
dino,-10,16QAM,clean,bfp12,bfp8,1,0
dino,-10,16QAM,clean,bfp12,none,1,0
dino,-10,16QAM,clean,bfp12,sc16,1,0
dino,-10,16QAM,clean,bfp8,bfp12,1,0
dino,-10,16QAM,clean,bfp8,bfp8,1,0
dino,-10,16QAM,clean,bfp8,none,1,0
dino,-10,16QAM,clean,bfp8,sc16,1,0
dino,-10,16QAM,clean,none,bfp12,1,0
dino,-10,16QAM,clean,none,bfp8,1,0
dino,-10,16QAM,clean,none,none,1,0
dino,-10,16QAM,clean,none,sc16,1,0
dino,-10,16QAM,clean,sc16,bfp12,1,0
dino,-10,16QAM,clean,sc16,bfp8,1,0
dino,-10,16QAM,clean,sc16,none,1,0
