variant,cls,annotations,snips_matched
clean,BPSK,360,369
clean,QPSK,360,404
clean,16QAM,360,404
clean,Narrowband_FM,24,13
clean,Broadband_FM,30,18
clean,Bluetooth,84,167
clean,OFDM,144,164
clean,802_11ax,96,125
clean,5G_Downlink,264,306
30,BPSK,360,367
30,QPSK,360,388
30,16QAM,360,392
30,Narrowband_FM,24,8
30,Broadband_FM,30,18
30,Bluetooth,84,116
30,OFDM,144,166
30,802_11ax,96,125
30,5G_Downlink,264,309
15,BPSK,360,343
15,QPSK,360,376
15,16QAM,360,375
15,Narrowband_FM,24,13
15,Broadband_FM,30,16
15,Bluetooth,84,116
15,OFDM,144,163
15,802_11ax,96,124
15,5G_Downlink,264,296
0,BPSK,360,359
0,QPSK,360,379
0,16QAM,360,375
0,Narrowband_FM,24,12
0,Broadband_FM,30,42
0,Bluetooth,84,76
0,OFDM,144,115
0,802_11ax,96,95
0,5G_Downlink,264,216
-10,BPSK,360,56
-10,QPSK,360,43
-10,16QAM,360,44
-10,Narrowband_FM,24,0
-10,Broadband_FM,30,3
-10,Bluetooth,84,1
-10,OFDM,144,19
-10,802_11ax,96,44
-10,5G_Downlink,264,45
