codec,snr_db,ratio,stored_mb,snips,frames,crc_ok,ber_attempted,ber_whole,acc_vtcnn2,acc_resnet1d,acc_tprime,chber
none,30,1.0,87.23,15,1055,772,3.7944670517196116e-05,3.7944670517196116e-05,0.75,0.875,0.9375,0.006771803679552864
none,20,1.0,70.44,16,854,511,0.00019091639871382637,0.00019091639871382637,0.625,0.6875,0.5625,0.0067144643169112506
none,12,1.0,64.01,16,832,164,0.006748559093246486,0.006748559093246486,0.5,0.875,0.75,0.11608605214884696
none,6,1.0,59.59,16,138,0,0.06386223392210146,0.06386223392210146,0.1875,0.6875,0.4375,0.27077383607828226
sc16,30,2.0,43.61,15,1055,772,3.7944670517196116e-05,3.7944670517196116e-05,0.75,0.875,0.9375,0.0067722585293432695
sc16,20,2.0,35.22,16,854,511,0.00019154441318327975,0.00019154441318327975,0.625,0.6875,0.5625,0.006714009361169345
sc16,12,2.0,32.01,16,832,164,0.006747219960575934,0.006747219960575934,0.5,0.875,0.75,0.11608468728162125
sc16,6,2.0,29.8,16,138,0,0.06385869565217392,0.06385869565217392,0.1875,0.6875,0.4375,0.27077543587643343
bfp12,30,2.653,32.88,15,1055,772,3.922658506169598e-05,3.922658506169598e-05,0.75,0.875,0.9375,0.006772485954238472
bfp12,20,2.653,26.55,16,854,511,0.00019154441318327975,0.00019154441318327975,0.625,0.6875,0.5625,0.006712417016072676
bfp12,12,2.653,24.13,16,832,164,0.006751572141755228,0.006751572141755228,0.5,0.875,0.75,0.1160887818832984
bfp12,6,2.653,22.46,16,138,0,0.06384984997735507,0.06384984997735507,0.1875,0.6875,0.4375,0.2707770356745846
bfp8,30,3.969,21.98,15,1055,772,3.5380841428196375e-05,3.5380841428196375e-05,0.75,0.875,0.9375,0.006782037799836982
bfp8,20,3.969,17.75,16,854,511,0.0001896603697749196,0.0001896603697749196,0.625,0.6875,0.5625,0.006517241002795248
bfp8,12,3.969,16.13,16,831,166,0.006719512782631038,0.006719512782631038,0.5,0.875,0.75,0.11516795146168181
bfp8,6,3.969,15.02,16,140,0,0.06388113839285714,0.06388113839285714,0.1875,0.75,0.4375,0.26905039638427336
