codec,snr_db,ratio,stored_mb,snips,frames,crc_ok,ber_attempted,ber_whole,acc_vtcnn2,acc_resnet1d,acc_tprime,chber,bits_per_scalar,recon_snr_db
zfp12,clean,2.667,62.91,4,1175,825,8.811603812077407e-05,8.811603812077407e-05,0.9375,1.0,1.0,0.008993459302325582,12,49.7
zfp10,clean,3.2,52.43,4,1175,839,2.459052226626253e-05,2.459052226626253e-05,0.9375,1.0,1.0,0.009712936046511628,10,37.6
zfp8,clean,4.0,41.94,4,1175,812,2.732280251806948e-05,2.732280251806948e-05,0.875,1.0,1.0,0.010392214752906977,8,25.6
zfp6,clean,5.333,31.46,4,1175,798,0.0002345207216134297,0.0002345207216134297,1.0,1.0,1.0,0.008432957848837208,6,13.3
zfp5,clean,6.4,26.21,4,0,0,,,0.5,0.5,0.0,1.0,5,7.7
zfp4,clean,8.0,20.97,3,0,0,,,0.3333333333333333,0.0,0.0,0.4005940755208333,4,1.1
zfp3,clean,10.667,15.73,4,76,0,0.10673141479492188,0.10673141479492188,0.5,0.375,0.75,0.8833652533373786,3,-3.4
zfp12,30,2.667,32.71,15,1055,771,3.820105342609609e-05,3.820105342609609e-05,0.75,0.875,0.9375,0.006774077928504891,12,50.6
zfp10,30,3.2,27.26,15,1012,727,3.5711523920813855e-05,3.5711523920813855e-05,0.75,0.875,0.875,0.007506158666162087,10,38.5
zfp8,30,4.0,21.81,15,1012,739,4.05446624965631e-05,4.05446624965631e-05,0.75,0.875,0.875,0.00683070672741034,8,26.5
zfp6,30,5.333,16.36,15,968,505,0.00042888616006934413,0.00042888616006934413,0.75,0.875,0.9375,0.08863521410689335,6,14.3
zfp5,30,6.4,13.63,15,483,87,0.021184468920765028,0.021184468920765028,0.5625,0.75,0.5625,0.2223771996535864,5,8.8
zfp4,30,8.0,10.9,15,405,0,0.12606819058641974,0.12606819058641974,0.4,0.6,0.6,0.6055396017991312,4,2.7
zfp3,30,10.666,8.18,15,0,0,,,0.5,0.625,0.25,0.9955014839897863,3,-1.9
zfp12,20,2.667,26.42,16,854,512,0.00014098924839228295,0.00014098924839228295,0.625,0.6875,0.5625,0.00675632024516655,12,50.3
zfp10,20,3.2,22.01,16,854,511,0.00014381531350482314,0.00014381531350482314,0.625,0.6875,0.5625,0.006519288303633823,10,38.3
zfp8,20,4.0,17.61,16,767,421,0.00022098173877624908,0.00022098173877624908,0.625,0.6875,0.5,0.08853211259608665,8,26.2
zfp6,20,5.333,13.21,16,854,253,0.0024516213389121338,0.0024516213389121338,0.5625,0.75,0.5625,0.10191395331062195,6,13.9
zfp5,20,6.4,11.01,16,655,142,0.029485851025763357,0.029485851025763357,0.625,0.75,0.5625,0.3115161582081295,5,8.4
zfp4,20,7.999,8.81,16,157,0,0.09218407892117834,0.09218407892117834,0.3125,0.875,0.625,0.6619201134113674,4,1.7
zfp3,20,10.666,6.6,16,0,0,,,0.29411764705882354,0.35294117647058826,0.23529411764705882,0.9993517412055222,3,-2.3
zfp12,12,2.667,24.01,16,830,164,0.006703272405660377,0.006703272405660377,0.5,0.875,0.75,0.11609492378581411,12,50.0
zfp10,12,3.2,20.0,16,832,164,0.006718669816968868,0.006718669816968868,0.5,0.875,0.75,0.11425485528767762,10,37.9
zfp8,12,4.0,16.0,16,322,7,0.004734713511972634,0.004734713511972634,0.5625,0.8125,0.75,0.36537950588166784,8,25.9
zfp6,12,5.333,12.0,16,269,143,0.002406010397304833,0.002406010397304833,0.5625,0.75,0.75,0.4113068330712788,6,13.6
zfp5,12,6.4,10.0,16,382,11,0.036101496032395285,0.036101496032395285,0.4375,0.8125,0.75,0.33791155296412767,5,8.0
zfp4,12,7.999,8.0,16,146,0,0.053677493578767124,0.053677493578767124,0.375,0.625,0.75,0.6526560771168181,4,1.5
zfp3,12,10.666,6.0,16,0,0,,,0.25,0.5625,0.5,1.0,3,-2.8
