detector,class,regions,detected,det_rate
coherent_power_guarded,16QAM,582,280,0.4811
coherent_power_guarded,5G_Downlink,414,186,0.4493
coherent_power_guarded,802_11ax,154,70,0.4545
coherent_power_guarded,BPSK,553,263,0.4756
coherent_power_guarded,Bluetooth,131,57,0.4351
coherent_power_guarded,Broadband_FM,41,16,0.3902
coherent_power_guarded,METADATA,951,672,0.7066
coherent_power_guarded,Narrowband_FM,40,12,0.3000
coherent_power_guarded,OFDM,229,103,0.4498
coherent_power_guarded,QPSK,564,276,0.4894
coherent_power_guarded,ZC,936,662,0.7073
coherent_power_noguard,16QAM,582,525,0.9021
coherent_power_noguard,5G_Downlink,414,378,0.9130
coherent_power_noguard,802_11ax,154,138,0.8961
coherent_power_noguard,BPSK,553,461,0.8336
coherent_power_noguard,Bluetooth,131,117,0.8931
coherent_power_noguard,Broadband_FM,41,34,0.8293
coherent_power_noguard,METADATA,951,951,1.0000
coherent_power_noguard,Narrowband_FM,40,36,0.9000
coherent_power_noguard,OFDM,229,205,0.8952
coherent_power_noguard,QPSK,564,493,0.8741
coherent_power_noguard,ZC,936,936,1.0000
cuda_dino,16QAM,474,463,0.9768
cuda_dino,5G_Downlink,315,297,0.9429
cuda_dino,802_11ax,125,120,0.9600
cuda_dino,BPSK,441,436,0.9887
cuda_dino,Bluetooth,112,112,1.0000
cuda_dino,Broadband_FM,32,32,1.0000
cuda_dino,METADATA,937,937,1.0000
cuda_dino,Narrowband_FM,32,32,1.0000
cuda_dino,OFDM,192,182,0.9479
cuda_dino,QPSK,466,455,0.9764
cuda_dino,ZC,930,930,1.0000
dino_ft_native,16QAM,474,456,0.9620
dino_ft_native,5G_Downlink,315,315,1.0000
dino_ft_native,802_11ax,125,117,0.9360
dino_ft_native,BPSK,441,419,0.9501
dino_ft_native,Bluetooth,112,112,1.0000
dino_ft_native,Broadband_FM,32,29,0.9062
dino_ft_native,METADATA,937,937,1.0000
dino_ft_native,Narrowband_FM,32,27,0.8438
dino_ft_native,OFDM,192,171,0.8906
dino_ft_native,QPSK,466,441,0.9464
dino_ft_native,ZC,930,275,0.2957
dino_ft_rt_live,16QAM,474,418,0.8819
dino_ft_rt_live,5G_Downlink,315,315,1.0000
dino_ft_rt_live,802_11ax,125,125,1.0000
dino_ft_rt_live,BPSK,441,393,0.8912
dino_ft_rt_live,Bluetooth,112,105,0.9375
dino_ft_rt_live,Broadband_FM,32,21,0.6562
dino_ft_rt_live,METADATA,937,937,1.0000
dino_ft_rt_live,Narrowband_FM,32,5,0.1562
dino_ft_rt_live,OFDM,192,167,0.8698
dino_ft_rt_live,QPSK,466,412,0.8841
dino_ft_rt_live,ZC,930,893,0.9602
dino_ft_rt_noflatten,16QAM,474,418,0.8819
dino_ft_rt_noflatten,5G_Downlink,315,315,1.0000
dino_ft_rt_noflatten,802_11ax,125,125,1.0000
dino_ft_rt_noflatten,BPSK,441,393,0.8912
dino_ft_rt_noflatten,Bluetooth,112,105,0.9375
dino_ft_rt_noflatten,Broadband_FM,32,20,0.6250
dino_ft_rt_noflatten,METADATA,937,937,1.0000
dino_ft_rt_noflatten,Narrowband_FM,32,5,0.1562
dino_ft_rt_noflatten,OFDM,192,167,0.8698
dino_ft_rt_noflatten,QPSK,466,409,0.8777
dino_ft_rt_noflatten,ZC,930,898,0.9656
