detector,file_stem,attenuation_db,frame_number,fft_rows,fft_cols,tp,fp,fn,gt_pixels,pred_pixels,total_pixels,precision,recall,f1,iou,fp_area_fraction,mask_present
finetuned_dino,lte_attenuation_dB_0,0,1,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,2,512,10240,1158499,34031,47693,1206192,1192530,5242880,0.9714631917016763,0.9604598604533938,0.965930191160126,0.9341053987871536,0.008430426131521684,True
finetuned_dino,lte_attenuation_dB_0,0,3,512,10240,1080272,38178,47452,1127724,1118450,5242880,0.9658652599579776,0.957922328513005,0.961877396853494,0.9265547190072579,0.009277412569535638,True
finetuned_dino,lte_attenuation_dB_0,0,4,512,10240,585267,46393,39187,624454,631660,5242880,0.9265538422569104,0.9372459780864564,0.9318692411676011,0.8724299281356256,0.010045197216540874,True
finetuned_dino,lte_attenuation_dB_0,0,5,512,10240,35568,16522,8408,43976,52090,5242880,0.6828181992704934,0.8088048026196107,0.7404909124976579,0.5879202618268372,0.003177977512183337,True
finetuned_dino,lte_attenuation_dB_0,0,6,512,10240,1019848,30202,47312,1067160,1050050,5242880,0.9712375601161849,0.9556655047040744,0.9633886104826636,0.9293633276894954,0.007232764648970717,True
finetuned_dino,lte_attenuation_dB_0,0,7,512,10240,422998,33592,20248,443246,456590,5242880,0.9264285244968133,0.9543188207000176,0.9401668748527509,0.8870895356494239,0.0069988669969418505,True
finetuned_dino,lte_attenuation_dB_0,0,8,512,10240,350245,17435,4411,354656,367680,5242880,0.9525810487380331,0.9875625958675449,0.969756456828955,0.9412885557565219,0.003566735075970332,True
finetuned_dino,lte_attenuation_dB_0,0,9,512,10240,452370,21600,2156,454526,473970,5242880,0.954427495411102,0.9952565969823508,0.9744145370577794,0.9501056443042388,0.004510944679528706,True
finetuned_dino,lte_attenuation_dB_0,0,10,512,10240,171766,9594,1894,173660,181360,5242880,0.9470996912218791,0.9890936312334446,0.9676412596473438,0.9373110546018095,0.0018925988613632866,True
finetuned_dino,lte_attenuation_dB_0,0,11,512,10240,105928,5412,1210,107138,111340,5242880,0.9513921322076523,0.9887061546790121,0.9696903120680342,0.9411639271434917,0.0010537912535325956,True
finetuned_dino,lte_attenuation_dB_0,0,12,512,10240,72837,2553,1303,74140,75390,5242880,0.9661360923199364,0.9824251416239547,0.9742125326021533,0.9497216173575164,0.0004939308225989313,True
finetuned_dino,lte_attenuation_dB_0,0,13,512,10240,39927,2543,89,40016,42470,5242880,0.9401224393689663,0.9977758896441423,0.9680915549305337,0.9381564416457153,0.0004887692624677485,True
finetuned_dino,lte_attenuation_dB_0,0,14,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,15,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,16,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,17,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,18,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,19,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,20,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,21,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,22,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,23,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,24,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,25,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,26,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,27,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,28,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,29,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,30,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,31,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,32,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,33,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,34,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,35,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,36,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,37,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,38,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,39,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,40,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,41,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,42,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,43,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,44,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,45,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,46,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,47,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,48,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,49,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,50,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,51,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,52,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,53,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,54,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,55,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,56,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,57,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,58,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,59,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,60,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,61,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,62,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,63,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,64,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,65,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_0,0,66,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,1,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,2,512,10240,1089612,28878,55032,1144644,1118490,5242880,0.9741812622374809,0.9519221696876933,0.9629230969089767,0.9284972927648566,0.007046446324711413,True
finetuned_dino,lte_attenuation_dB_10,10,3,512,10240,1104424,38136,57964,1162388,1142560,5242880,0.9666223218036689,0.9501336902996246,0.9583070854526871,0.9199516211254419,0.00934593181410477,True
finetuned_dino,lte_attenuation_dB_10,10,4,512,10240,476444,40306,163306,639750,516750,5242880,0.9220009675858732,0.7447346619773348,0.8239412019022915,0.7005952450974625,0.008756215879195244,True
finetuned_dino,lte_attenuation_dB_10,10,5,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,6,512,10240,0,96860,0,0,96860,5242880,0.0,nan,nan,0.0,0.018474578857421875,True
finetuned_dino,lte_attenuation_dB_10,10,7,512,10240,31798,54652,4666,36464,86450,5242880,0.36781954887218044,0.8720381746379992,0.5174024114421466,0.34898371306905485,0.010497048257380893,True
finetuned_dino,lte_attenuation_dB_10,10,8,512,10240,626077,23753,59743,685820,649830,5242880,0.9634473631565179,0.912888221399201,0.9374866170029573,0.8823292318056071,0.0052123518233246876,True
finetuned_dino,lte_attenuation_dB_10,10,9,512,10240,800128,39842,22440,822568,839970,5242880,0.9525673535959618,0.972719580630416,0.9625379991314483,0.9277814496585151,0.009013390909962917,True
finetuned_dino,lte_attenuation_dB_10,10,10,512,10240,36308,9172,3982,40290,45480,5242880,0.7983289357959543,0.9011665425663936,0.8466363530371924,0.7340584691278152,0.0017629680601392768,True
finetuned_dino,lte_attenuation_dB_10,10,11,512,10240,739254,27936,9006,748260,767190,5242880,0.9635865952371642,0.9879640766578462,0.9756230822527961,0.9524063509732078,0.006215430892934219,True
finetuned_dino,lte_attenuation_dB_10,10,12,512,10240,90806,7804,1968,92774,98610,5242880,0.9208599533515871,0.9787871601957445,0.9489403502905155,0.9028415756924973,0.001515308616948855,True
finetuned_dino,lte_attenuation_dB_10,10,13,512,10240,172910,7230,1432,174342,180140,5242880,0.9598645497946042,0.9917862591917037,0.9755643445929553,0.9522944066265724,0.0014264468373325798,True
finetuned_dino,lte_attenuation_dB_10,10,14,512,10240,92034,3266,454,92488,95300,5242880,0.9657292759706191,0.9950912550817403,0.9801904275033548,0.961150448023059,0.0006341264897895151,True
finetuned_dino,lte_attenuation_dB_10,10,15,512,10240,70987,2313,97,71084,73300,5242880,0.9684447476125512,0.9986354172528277,0.983308399822695,0.9671648704987942,0.0004472334175593933,True
finetuned_dino,lte_attenuation_dB_10,10,16,512,10240,152,38,32,184,190,5242880,0.8,0.8260869565217391,0.8128342245989306,0.6846846846846847,7.2481791810930865e-06,True
finetuned_dino,lte_attenuation_dB_10,10,17,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,18,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,19,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,20,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,21,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,22,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,23,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,24,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,25,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,26,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,27,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,28,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,29,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,30,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,31,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,32,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,33,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,34,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,35,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,36,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,37,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,38,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,39,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,40,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,41,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,42,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
finetuned_dino,lte_attenuation_dB_10,10,43,512,10240,0,0,0,0,0,5242880,nan,nan,nan,nan,0.0,True
