ts,mem_used_gb,mem_avail_gb,swap_used_gb,gpu_mem_mb,gpu_util,load1,my_rss_gb,warn
22:52:13,26.3,98.7,6.5,3753,100,1.43,13.3,
22:53:13,26.3,98.8,6.4,3753,100,1.53,15.9,
22:54:13,26.3,98.7,6.4,3753,100,1.23,13.3,
22:55:13,26.2,98.8,6.4,3753,100,1.83,14.4,
22:56:13,26.3,98.7,6.4,3753,100,2.09,16.9,
22:57:14,26.2,98.8,6.4,3753,100,1.60,12.9,
22:58:14,26.3,98.8,6.4,3753,100,1.30,15.4,
22:59:14,26.3,98.7,6.4,3753,100,1.56,12.9,
23:00:14,26.2,98.8,6.4,3753,100,2.02,14.0,
23:01:14,26.4,98.7,6.4,3753,100,1.44,16.5,
23:02:14,26.3,98.8,6.4,3753,100,1.41,13.9,
23:03:14,26.3,98.8,6.4,3753,100,1.73,15.0,
23:04:14,26.4,98.6,6.4,3753,100,2.28,17.4,
23:05:14,26.4,98.6,6.4,3753,100,1.96,13.6,
23:06:14,26.3,98.7,6.4,3753,100,2.04,16.1,
23:07:14,26.3,98.7,6.4,3753,100,1.92,13.6,
23:08:14,26.2,98.8,6.4,3753,100,1.77,14.6,
23:09:14,26.3,98.7,6.4,3753,100,1.36,17.1,
23:10:14,26.2,98.8,6.4,3753,100,1.44,13.2,
23:11:14,26.2,98.8,6.4,3753,100,2.01,15.7,
23:12:15,26.2,98.8,6.4,3753,100,2.48,13.2,
23:13:15,26.4,98.6,6.4,3753,100,1.70,14.2,
23:14:15,26.2,98.8,6.4,3753,100,1.96,16.7,
23:15:15,26.5,98.5,6.4,3753,100,1.80,12.8,
23:16:15,26.3,98.7,6.4,3753,100,1.85,15.3,
23:17:15,26.4,98.6,6.4,3753,100,1.51,12.7,
23:18:15,26.3,98.7,6.4,3753,100,1.26,13.8,
23:19:15,26.4,98.6,6.4,3753,100,1.68,16.3,
23:20:15,26.2,98.9,6.4,3753,100,1.39,13.8,
23:21:15,26.3,98.8,6.4,3753,100,1.17,14.9,
23:22:15,26.3,98.7,6.4,3753,100,1.10,17.3,
23:23:15,26.4,98.6,6.4,3753,100,1.83,13.4,
23:24:15,25.8,99.3,6.4,3753,100,2.68,15.4,
23:25:15,25.8,99.2,6.4,3753,100,2.57,12.9,
23:26:15,25.7,99.4,6.3,3753,100,1.84,14.0,
23:27:16,25.8,99.3,6.3,3753,100,1.34,16.5,
23:28:16,25.8,99.2,6.3,3753,100,1.26,12.5,
23:29:16,26.1,99.0,6.3,3753,100,1.32,15.0,
23:30:16,25.9,99.2,6.3,3753,100,1.34,12.5,
23:31:16,25.9,99.1,6.3,3753,100,1.50,13.5,
23:32:16,25.9,99.1,6.3,3753,100,1.18,16.1,
23:33:16,26.2,98.9,6.3,3753,100,1.48,12.1,
23:34:16,26.1,98.9,6.3,3753,100,1.64,14.6,
23:35:16,26.1,98.9,6.3,3753,100,1.58,12.1,
23:36:16,25.7,99.3,6.3,6891,100,1.56,7.8,
23:37:16,25.7,99.4,6.3,6891,100,1.29,9.5,
23:38:16,25.7,99.4,6.3,6891,100,1.29,11.0,
23:39:16,25.7,99.4,6.3,6891,100,1.35,10.4,
23:40:16,25.8,99.3,6.3,6891,100,1.24,11.0,
23:41:16,25.7,99.3,6.3,6891,100,1.14,12.6,
23:42:16,25.8,99.2,6.3,6891,100,1.14,14.1,
23:43:17,25.9,99.1,6.3,6891,6,3.95,5.5,
23:44:17,25.7,99.3,6.3,6891,100,2.25,11.4,
23:45:17,25.8,99.2,6.3,6891,100,1.81,13.0,
23:46:17,25.0,100.0,6.3,6891,100,1.46,13.6,
23:47:17,24.8,100.3,6.3,6891,100,1.35,9.0,
23:48:17,24.7,100.3,6.3,6891,100,1.24,10.6,
23:49:17,24.8,100.2,6.3,6891,100,1.24,12.1,
23:50:17,24.8,100.2,6.3,6891,100,1.30,9.0,
23:51:17,24.7,100.4,6.3,6891,100,1.51,9.4,
23:52:17,24.7,100.3,6.3,6891,100,1.33,11.0,
23:53:17,24.7,100.3,6.3,6891,100,1.33,12.6,
23:54:17,24.7,100.3,6.3,6891,100,1.37,9.7,
23:55:17,24.8,100.2,6.3,6891,100,1.21,9.9,
23:56:17,24.8,100.3,6.3,6891,100,1.08,11.5,
23:57:17,24.7,100.3,6.3,6891,100,1.16,13.0,
23:58:18,25.0,100.1,6.3,6891,100,1.30,8.8,
23:59:18,24.9,100.2,6.3,6891,100,1.39,10.4,
00:00:18,24.8,100.2,6.3,6891,100,1.41,12.0,
00:01:18,24.8,100.3,6.3,6891,100,1.23,8.7,
00:02:18,24.8,100.3,6.3,6891,100,1.28,9.3,
00:03:18,24.8,100.3,6.3,6891,100,1.28,10.9,
00:04:18,24.8,100.3,6.3,6891,100,1.17,12.4,
00:05:18,24.9,100.2,6.3,6891,100,1.25,9.5,
00:06:18,24.7,100.3,6.3,6891,100,1.42,9.8,
00:07:18,24.7,100.3,6.3,6891,100,1.37,11.4,
00:08:18,24.8,100.3,6.3,6891,100,1.14,12.9,
00:09:18,24.7,100.3,6.3,6891,100,1.18,8.7,
00:10:18,24.7,100.3,6.3,6891,100,1.31,10.3,
00:11:18,24.8,100.2,6.3,6891,100,1.35,11.8,
00:12:18,24.8,100.3,6.3,6891,100,1.37,8.5,
00:13:19,24.9,100.2,6.3,6891,100,1.24,9.2,
00:14:19,24.7,100.3,6.3,6891,100,1.30,10.8,
00:15:19,24.8,100.2,6.3,6891,100,1.23,12.3,
00:16:19,24.8,100.2,6.3,6891,100,1.23,9.3,
00:17:19,24.8,100.3,6.3,6891,100,1.12,9.7,
00:18:19,24.7,100.3,6.3,6891,100,1.12,11.2,
00:19:19,24.8,100.2,6.3,6891,100,1.47,12.8,
00:20:19,25.0,100.1,6.3,6891,100,1.34,8.5,
00:21:19,24.9,100.2,6.3,6891,100,1.22,10.1,
00:22:19,24.8,100.3,6.2,6891,100,1.27,11.7,
00:23:19,24.8,100.3,6.2,6891,100,1.33,13.2,
00:24:19,24.7,100.3,6.2,6891,100,1.24,9.0,
00:25:19,24.7,100.3,6.2,6891,100,1.31,10.6,
00:26:19,24.7,100.3,6.2,6891,100,1.19,12.2,
00:27:19,24.7,100.3,6.2,6891,100,1.32,9.1,
00:28:20,24.7,100.3,6.2,6891,100,1.45,9.5,
00:29:20,24.8,100.3,6.2,6891,100,2.22,11.1,
00:30:20,24.8,100.3,6.2,6891,100,1.58,12.6,
00:31:20,24.7,100.4,6.2,6891,100,1.34,9.8,
00:32:20,24.7,100.3,6.2,6891,100,1.30,10.0,
00:33:20,24.8,100.2,6.2,6891,100,1.25,11.6,
00:34:20,24.7,100.3,6.2,6891,100,1.31,13.1,
00:35:20,24.8,100.3,6.2,6891,100,1.16,8.9,
00:36:20,24.7,100.3,6.2,6891,100,1.23,10.5,
00:37:20,24.7,100.4,6.2,6891,100,1.16,12.0,
00:38:20,24.8,100.3,6.2,6891,100,1.18,8.8,
00:39:20,24.8,100.3,6.2,6891,100,1.33,9.4,
00:40:20,24.8,100.2,6.2,6891,100,1.35,11.0,
00:41:20,24.7,100.3,6.2,6891,100,1.38,12.5,
00:42:20,24.7,100.3,6.2,6891,100,1.26,9.6,
00:43:20,24.8,100.3,6.2,3753,100,1.35,7.9,
00:44:21,24.9,100.1,6.2,3753,100,1.24,10.4,
00:45:21,24.7,100.4,6.2,3753,100,1.08,12.8,
00:46:21,24.7,100.3,6.2,3753,100,1.23,9.1,
00:47:21,24.7,100.4,6.2,3753,100,1.28,10.4,
00:48:21,24.7,100.3,6.2,3753,100,1.10,12.9,
00:49:21,24.9,100.2,6.2,3753,100,1.11,15.3,
00:50:21,24.8,100.2,6.2,3753,100,1.34,9.2,
00:51:21,24.7,100.4,6.2,3753,100,1.75,10.2,
00:52:21,24.9,100.2,6.2,3753,100,1.74,12.7,
00:53:21,24.9,100.2,6.2,3753,100,1.39,15.1,
00:54:21,24.8,100.3,6.2,3753,100,1.14,9.0,
00:55:21,24.6,100.5,6.2,3753,100,1.17,10.1,
00:56:21,24.6,100.4,6.2,3753,100,1.88,12.6,
00:57:21,24.7,100.3,6.2,3753,100,1.39,15.0,
00:58:21,24.7,100.4,6.2,3753,100,1.26,8.9,
00:59:22,24.8,100.2,6.2,3753,100,1.27,10.0,
01:00:22,24.8,100.2,6.2,3753,100,1.45,12.4,
01:01:22,24.8,100.2,6.2,3753,100,1.87,14.9,
01:02:22,24.8,100.3,6.2,3753,100,1.46,8.8,
