detector,attenuation_db,timeslice_frac,timeslice_frac_raw,tf_coverage,retention,resample_meas_TB_hr
3dB_power,0,1.0,1.0,0.2731389458974202,1.0,4.016914699119222
3dB_power,5,1.0,1.0,0.23798561890920003,1.0,2.6817306239894974
3dB_power,10,1.0,1.0,0.21567267576853436,1.0,2.3416362077320976
3dB_power,15,1.0,1.0,0.20830314954121906,1.0,2.257739648105304
3dB_power,20,1.0,1.0,0.18193943818410238,1.0,2.163297922845256
3dB_power,25,1.0,1.0,0.16844621976216637,1.0,1.9134404033020849
3dB_power,30,1.0,1.0,0.1294430708885193,1.0,2.3196197863543255
3dB_power,35,1.0,1.0,0.08313691775004069,1.0,1.7648508402083738
3dB_power,40,1.0,1.0,0.03924208164215088,1.0,1.3419796939674191
3dB_power,45,1.0,1.0,0.015409695307413738,1.0,1.2244423984694652
3dB_power,50,1.0,1.0,0.008674009641011556,1.0,1.1275134972416463
3dB_power,55,1.0,1.0,0.0066354592641194666,1.0,0.8876052456101765
3dB_power,60,1.0,1.0,0.005016250610351562,1.0,0.5892443713956299
3dB_power,65,1.0,1.0,0.007216326395670573,1.0,1.2142872360489294
3dB_power,70,1.0,1.0,0.006916941006978352,1.0,1.106762723192226
blob_detection,0,0.9921875,0.9921875,0.17807889143625896,0.9922263296823647,3.735065571524829
blob_detection,5,0.9921875,0.9921875,0.16020981629689535,0.9918950575650236,2.8415480641080872
blob_detection,10,0.9921875,0.9921875,0.15443588415781656,0.9925453041511856,2.578574061427191
blob_detection,15,0.9921875,0.9921875,0.1487314176559448,0.9920588605596231,2.477625229359006
blob_detection,20,0.9921875,0.9921875,0.13643152236938474,0.9914007116666894,2.4688452979919195
blob_detection,25,0.9921875,0.9921875,0.12798919041951498,0.9920065520896657,2.30400976902545
blob_detection,30,0.9921875,0.9921875,0.09556423266728718,0.9917821140733575,2.2190138112781734
blob_detection,35,0.9921875,0.9921875,0.07380106767018636,0.9920493856805973,1.9232168123716264
blob_detection,40,0.9921875,0.9921875,0.03393193403879802,0.9920015184950924,1.8546937317691137
blob_detection,45,0.9921875,0.9921875,0.019033185640970864,0.9919937010837289,1.572962971917052
blob_detection,50,0.9921875,0.9921875,0.0167081085840861,0.9921363370760693,1.5081215534801973
blob_detection,55,0.9921875,0.9921875,0.015339924494425457,0.992103680948711,1.4519667045051368
blob_detection,60,0.9921875,0.9921875,0.011667900085449219,0.9920606245619168,0.9079272249287188
blob_detection,65,0.9921875,0.9921875,0.016731438636779786,0.9923608218882953,1.5379947918690042
blob_detection,70,0.9921875,0.9921875,0.016368556022644042,0.9920592233913583,1.5246886011817615
coherent_power,0,0.9995279947916667,1.0,0.20988463242848712,1.0,3.645616950255913
coherent_power,5,1.0,1.0,0.17526517232259115,1.0,2.516200769052417
coherent_power,10,1.0,1.0,0.14690773646036784,1.0,3.797845066572477
coherent_power,15,1.0,1.0,0.12489401022593179,1.0,1.678133111779211
coherent_power,20,1.0,1.0,0.09080013910929362,1.0,1.5474224068718818
coherent_power,25,1.0,1.0,0.05852733771006266,1.0,1.4438437952231558
coherent_power,30,1.0,1.0,0.027287588914235432,1.0,1.5391985264660089
coherent_power,35,1.0,1.0,0.011934458414713542,1.0,0.9040900224524508
coherent_power,40,1.0,1.0,0.007571372985839844,1.0,0.8090738539928872
coherent_power,45,1.0,1.0,0.005928513209025064,1.0,0.7474926150564376
coherent_power,50,1.0,1.0,0.004782234827677409,1.0,0.6819478110046537
coherent_power,55,1.0,1.0,0.004267789522806804,1.0,0.6335556595694403
coherent_power,60,1.0,1.0,0.003963532447814942,1.0,0.5775573728386058
coherent_power,65,1.0,1.0,0.004984752337137858,1.0,0.7441854634324779
coherent_power,70,1.0,1.0,0.0047269217173258465,1.0,0.6981148210996478
cuda_dino,0,1.0,1.0,0.21003191630045573,1.0,5.01605506055844
cuda_dino,5,1.0,1.0,0.18620373884836833,1.0,4.589876167220504
cuda_dino,10,1.0,1.0,0.16838413715362546,1.0,4.428282939669554
cuda_dino,15,1.0,1.0,0.1554122765858968,1.0,4.345793611186929
cuda_dino,20,1.0,1.0,0.13530525366465251,1.0,4.159226097616391
cuda_dino,25,1.0,1.0,0.12592713832855223,1.0,3.916178754222375
cuda_dino,30,1.0,1.0,0.11543590863545737,1.0,4.237805313317039
cuda_dino,35,1.0,1.0,0.10920934359232586,1.0,4.182584452056619
cuda_dino,40,1.0,1.0,0.10673954486846923,1.0,4.398087143213655
cuda_dino,45,1.0,1.0,0.11115160783131918,1.0,4.863368004750898
cuda_dino,50,1.0,1.0,0.11654751936594646,1.0,5.196343241503519
cuda_dino,55,1.0,1.0,0.12063928604125977,1.0,5.365934897807745
cuda_dino,60,1.0,1.0,0.12785085201263427,1.0,5.604194486352841
cuda_dino,65,1.0,1.0,0.11288125197092694,1.0,5.492474115453248
cuda_dino,70,1.0,1.0,0.1155746857325236,1.0,5.450771244500737
finetuned_dino,0,0.53056640625,0.5306803385416666,0.2077419916788737,0.9995700747643034,1.131536450391051
finetuned_dino,5,0.5141276041666667,0.5141276041666667,0.19634861946105958,1.0,1.106328578371581
finetuned_dino,10,0.511279296875,0.5114420572916667,0.19132202466328938,0.9996418408399568,1.1087765604617226
finetuned_dino,15,0.5236653645833333,0.5236653645833333,0.20296826362609863,0.9999748402354953,1.1089987901980254
finetuned_dino,20,0.5110514322916667,0.5111165364583333,0.19118528366088866,0.9997225866779309,1.1222557756315548
finetuned_dino,25,0.520361328125,0.520361328125,0.20228083928426108,0.9999310097562695,1.1183498876647318
finetuned_dino,30,0.5182779947916667,0.5182942708333333,0.19785857200622559,0.9999680517368237,1.1058940351254
finetuned_dino,35,0.5266927083333334,0.5270670572916667,0.19713374773661296,0.9920335384131218,1.1074942462621993
finetuned_dino,40,0.5027018229166667,0.5030110677083334,0.16101353963216145,0.9463680041160856,0.9706339253701706
finetuned_dino,45,0.39969075520833336,0.40361328125,0.037517420450846356,0.7775268210078533,0.3306382780608775
finetuned_dino,50,0.23409830729166667,0.23536783854166668,0.016217851638793947,0.43865307634320544,0.134081964462543
finetuned_dino,55,0.0419921875,0.05712890625,0.005992730458577474,0.08553706430158893,0.0667421727089823
finetuned_dino,60,0.017415364583333332,0.017415364583333332,0.00460205078125,0.0366401353229345,0.0536066145721167
finetuned_dino,65,0.01796875,0.01796875,0.004713614781697591,0.040559607945921686,0.0550907180245311
finetuned_dino,70,0.01826171875,0.01826171875,0.004817787806193034,0.04358044050928012,0.0548640719065203
finetuned_dino_m2,0,0.5304524739583333,0.53056640625,0.2074715773264567,0.9994854363004447,1.14163486584596
finetuned_dino_m2,5,0.5144694010416667,0.5144856770833334,0.19630805651346842,0.999948445635923,1.1116231589495464
finetuned_dino_m2,10,0.5127604166666667,0.5130859375,0.19132677714029947,0.9994044495014675,1.1191841896286356
finetuned_dino_m2,15,0.5234700520833333,0.523486328125,0.20280585289001465,0.9997551159345534,1.1176015529751626
finetuned_dino_m2,20,0.5112467447916667,0.5113118489583334,0.19103926022847492,0.9996833216594693,1.1326498304610444
finetuned_dino_m2,25,0.5201334635416667,0.5201334635416667,0.20210046768188478,0.9999209725345689,1.1307104886092754
finetuned_dino_m2,30,0.5180989583333333,0.5180989583333333,0.1978677034378052,0.9999397714178593,1.119042479902777
finetuned_dino_m2,35,0.5309733072916667,0.531103515625,0.20790384610493978,0.9997188779357897,1.1513356078639383
finetuned_dino_m2,40,0.5302734375,0.53037109375,0.20719839731852213,0.9995339190378006,1.143718331513352
finetuned_dino_m2,45,0.512109375,0.5122233072916667,0.19341028531392415,0.9915408212403791,1.1724300891099342
finetuned_dino_m2,50,0.5277669270833333,0.52880859375,0.1985578695933024,0.9629497978218063,1.1680138949486285
finetuned_dino_m2,55,0.47771809895833334,0.479150390625,0.16855971018473306,0.8757000195271262,1.042598034988691
finetuned_dino_m2,60,0.29080403645833336,0.29586588541666664,0.08095380465189615,0.5192492234721606,0.5628336397336258
finetuned_dino_m2,65,0.027229817708333333,0.028889973958333332,0.0051502863566080725,0.05660761617387137,0.0608955023030572
finetuned_dino_m2,70,0.021110026041666667,0.021142578125,0.005243841807047526,0.04673400704767961,0.0590565714272817
ground_truth,0,0.5274251302083334,0.5301106770833334,0.20608822981516522,1.0,1.111190595031091
ground_truth,5,0.5115397135416667,0.5135091145833334,0.1947503137588501,1.0,1.0870778175303213
ground_truth,10,0.5086100260416667,0.5107421875,0.18970362186431886,1.0,1.091313680463721
ground_truth,15,0.520947265625,0.5229166666666667,0.20138516267140708,1.0,1.0900777930954624
ground_truth,20,0.506884765625,0.5102864583333333,0.18957123279571533,1.0,1.1037066611005506
ground_truth,25,0.5166341145833333,0.5194661458333333,0.20071298440297444,1.0,1.1010603419239013
ground_truth,30,0.513427734375,0.5173583984375,0.19622974077860517,1.0,1.0841713019195645
ground_truth,35,0.5276529947916667,0.5297200520833333,0.20583324909210204,1.0,1.105289903257035
ground_truth,40,0.525390625,0.5288899739583334,0.20515881697336832,1.0,1.084060769673445
ground_truth,45,0.5115397135416667,0.5135091145833334,0.1946081781387329,1.0,1.0972044171608708
ground_truth,50,0.5319498697916667,0.5339192708333333,0.20954141298929851,1.0,1.0849594412602022
ground_truth,55,0.5282389322916666,0.5302083333333333,0.20528934955596925,1.0,1.0847769998268206
ground_truth,60,0.5329427083333333,0.5359375,0.2094436264038086,1.0,1.089700781623849
ground_truth,65,0.52158203125,0.5235514322916667,0.20149195194244385,1.0,1.1252705817966109
ground_truth,70,0.5123209635416667,0.514306640625,0.19538386980692543,1.0,1.123209929118211
yolo26m,0,0.50498046875,0.5050455729166666,0.2110677719116211,0.9439040709808726,1.1835078843875466
yolo26m,5,0.4986490885416667,0.49871419270833334,0.20353501637776691,0.9400101524246746,1.1792174447455508
yolo26m,10,0.5001139322916667,0.5001302083333333,0.2035823345184326,0.9327952532696332,1.207989833435784
yolo26m,15,0.5064127604166667,0.5064778645833333,0.21051836013793945,0.9427445507703419,1.1905387529112563
yolo26m,20,0.49508463541666664,0.4951171875,0.20231630007425944,0.9343393104010939,1.2210880882011272
yolo26m,25,0.5083170572916667,0.5083170572916667,0.2112862745920817,0.9417122085487858,1.2027352889601124
yolo26m,30,0.49688313802083334,0.49693196614583335,0.20424149036407468,0.9386276673051608,1.1708680922320491
yolo26m,35,0.5220052083333333,0.522119140625,0.21778488159179688,0.9451699562545584,1.2163335988076494
yolo26m,40,0.5157552083333333,0.5157877604166666,0.21489156087239583,0.946104680341771,1.196103566503372
yolo26m,45,0.5038736979166667,0.5039388020833333,0.20389561653137206,0.9382617043426302,1.2222326246100093
yolo26m,50,0.5142415364583334,0.5142415364583334,0.21118990580240884,0.9117674542215378,1.1638611431136003
yolo26m,55,0.4852213541666667,0.4852213541666667,0.19322439829508464,0.8654542510851684,1.0895440939294885
yolo26m,60,0.4102864583333333,0.4102864583333333,0.1569993495941162,0.7096788739091047,0.8841655879688128
yolo26m,65,0.13668619791666667,0.13668619791666667,0.05428414344787598,0.23425945291665148,0.3523613357760759
yolo26m,70,0.07841796875,0.07841796875,0.02923432985941569,0.12923052827816342,0.2095424352027933
yolo26s,0,0.5026529947916667,0.5026529947916667,0.2099880854288737,0.945464368121516,1.1510504793997922
yolo26s,5,0.4881184895833333,0.488232421875,0.1992477258046468,0.9402462992599834,1.1311809727179505
yolo26s,10,0.4827473958333333,0.4830078125,0.1957667668660482,0.9330198041678368,1.1531498806316751
yolo26s,15,0.499462890625,0.49969075520833334,0.2065502166748047,0.9438717003174906,1.1470726297626217
yolo26s,20,0.47918294270833334,0.47942708333333334,0.1949827512105306,0.9359366579506353,1.1562953741060036
yolo26s,25,0.499365234375,0.499365234375,0.20671594937642415,0.9448839024775499,1.1486405730531015
yolo26s,30,0.49017740885416666,0.4902425130208333,0.2008556604385376,0.9413505463351481,1.1276987784655779
yolo26s,35,0.508447265625,0.5086100260416667,0.21118728319803873,0.94748998338918,1.1524609170750315
yolo26s,40,0.5047688802083333,0.5048502604166667,0.21017902692159016,0.9448642414678636,1.1416024417209831
yolo26s,45,0.479736328125,0.47994791666666664,0.19279346466064454,0.9173643570740757,1.1240492421217017
yolo26s,50,0.49689127604166666,0.4969401041666667,0.20682503382364908,0.8987423097027599,1.1060773822924528
yolo26s,55,0.45452473958333334,0.45462239583333336,0.18225987752278647,0.8201474203034765,0.979944254349508
yolo26s,60,0.32736002604166664,0.32736002604166664,0.11708583831787109,0.5791070610696212,0.6357708969771693
yolo26s,65,0.03509114583333333,0.03509114583333333,0.010944827397664388,0.06894057765902982,0.0901385598659655
yolo26s,70,0.029508463541666665,0.029508463541666665,0.009279664357503254,0.060457667218063955,0.0812381273574675
